name|a|b
อภิสิทธิ์|aLphiHsitL|Abhisit[firstnameof27thThaiPrimeMinister]
อดิศักดิ์|aLdiLsakL|Adisak[aThaigivenname]
อักขระ|akLkhaLraL|Akara[aThaimalegivenname](alphabet,character)
อริศรา|aLriHsaLraaM|Alisara[aThaigivenname]
อมร|aLmaawnM|Amorn[Thaiwoman'sgivenname]
อมรรัตน์|aLmaawnMratH|Amornrat[aThaifemalegivenname]
อนันต์|aLnanM|Anan[aThaigivenname]
อนันตชัย|aLnanMdtaLchaiM|Anantachai[aThaimalegivenname]
อาณัติ|aaMnatH|Anat[aThaigivenname]
อัญชลี|anMchaHleeM|Anchalee[aThaifemalegivenname]
อัญชลีพร|anMchaHleeMphaawnM|Anchaleephorn[aThaifemalegivenname]
อนุชา|aLnooHchaaM|Anucha[aThaigivenname](youngerbrother)
อาภัสรา|aaLphatHsaLraaM|Apasara[Thaiwoman'sname;andthenameofaformerThaiMissUniverse]
อภิชาต|aLphiHchaatF|Aphichat[aThaigivenname]
อภิชาติ|aLphiHchaatF|Aphichat[aThaigivenname]
อภิรักษ์|aLphiHrakH|Aphirak[aThaigivenname]
อภิศักดิ์|aLphiHsakL|Aphisak[aThaigivenname]
อภิญญา|aLphinMyaaM|Apinya[aThaimaleorfemalegivenname](magicalpower,knowledge)
อารี|aaMreeM|Aree[Thaigivenname]
อารีพงศ์|aaMreeMphohngM|Ariphong[aThaigivenname]
อารง|aaMrohngM|Arong[aThaigivenname]
อาทิตย์|aaMthitH|Arthit[aThaimalename](sun)
อรุณศรี|aLroonMseeR|Arunsri[aThaigivenname]
อัษรา|atLsaLraaM|Asara[aThaigivenname]
อัษฎา|atLsaLdaaM|Asda[aThaimalegivenname]
อรรถสิทธิ์|atLthaLsitL|Athasit[Thaimalegivenname]
บัณฑิตา|banMthiHdtaaM|Banthita[aThaigivenname]
บัญญัติ|banMyatL|Banyat[aThaigivenname]
บุญศรี|boonMseeR|Boonsri[aThaifemalegivenname](beautifulandmeritorious)
บุญรัตน์|boonMratH|Bunrat[aThaigivenname]
บุญเยี่ยม|boonMyiiamF|Bunyiam[aThaigivenname]
บุญยง|boonMyohngM|Bunyong[aThaigivenname]
บุษราคัม|bootLsaLraaMkhamM|Busarakham[aThaifemalegivenname](yellowsapphire)
บุศวรรณ|booLsaLwanM|Busawan[aThaigivenname]
ชัยอนันต์|chaiMaLnanM|Chaiyanan;Chaiyanant[aThaimalegivenname](countlessvictories)
ชัยพร|chaiMyaHphaawnM|Chaiyaporn[aThaigivenname](victoryblessing)
จักรี|jakLgreeM|Chakrii;Jakrii[aThaimalegivenname](king,monarch)
เฉลิม|chaLleermR|Chalerm[aThaigivenname](celebration,supreme,prestigious)
ฉลวย|chaLluayR|Chaluay[aThaigivenname(unisex)]
ชนะ|chaHnaH|Chana[aThaigivenname]
ชาญชัย|chaanMchaiM|Chanchai[aThaimalegivenname](skilledandvictorious)
ชนินทร์|chaHninM|Chanin[aThaigivenname]
ชนิภรณ์|chaHniHphohnM|Chaniporn[aThaifemalegivenname]
จันทร์สิริ|janMthaHsiLriL|Chanthasiri[aThaigivenname]
เชาวน์|chaoM|Chaow[aThaimalegivenname](mentalagility,quicknessofmind)
ชาติชาย|chaatFchaaiM|Chatchai[aThaigivenname]
ชาติ|chaatF|Chati;Charti[aThaimalegivennameornickname](life,birth,incarnation;nation,country)
จตุพล|jaLdtooLphohnM|Chatuphon[aThaigivenname]
ชิด|chitH|Chid[aThaigivenname](close,near,touching)
ชมเกดุ|chohmMgaehtL|Chomkate[aThaigivenname]
ชุ่ม|choomF|Choom[aThaigivennameornickname](wet)
ชวน|chuaanM|Chuan[aThaigivenname]
จุลภาส|joonMphaatF|Chunphat[aThaigivenname]
ชูวิทย์|chuuMwitH|Chuwit[aThaigivenname]
ดนัย|daLnaiM|Danai[commonThaigivenname]
แดง|daaengM|Dang;Daeng[aThaimaleorfemalegivennameornickname—SeeNotes](red)
ดนุพล|daLnooHphohnM|Danupol[Thaimalegivenname]
ดวงใจ|duaangMjaiM|Duangjai[aThaigivenname]
ดวงกมล|duaangMgaLmohnM|Duangkamol[aThaifemalegivenname](heart)
เดือนเพ็ญ|deuuanMphenM|Duanphen[afemalegivenname](fullmoon)
ดุสิต|dooLsitL|Dusit[aThaimalegivenname](thefourthlandofheaven)
เอกใหม่|aehkLgaLmaiL|Ekamai[aThaigivenname]
เอกพงษ์|aehkLgaLphohngM|Ekaphong[aThaigivenname]
ฟุ้งฟ้า|foongHfaaH|Fungfaa[Thaifemalegivenname]
กานดา|gaanMdaaM|Gaan-daa[aThaifemalegivenname](beloved,sweetheart)
แก้วเก้า|gaaeoFgaaoF|Gaewgaow[aThaifemalegivenname]
กมล|gaLmohnM|Gamon;Gamol;Kamon[aThaimaleorfemalegivennameornickname](heart,mind)
กนกพร|gaLnohkHphaawnM|Ganokpon;Kanokporn[aThaigivenname]
กระสินธ์|graLsinR|Grasin;Karasin[aThaimalegivenname]
หทัย|haLthaiM|Hathai[aThaifemalegivenname](heart)
จันทนา|janMthaHnaaM|Janthana[aThaifemalegivenname]
จารุวรรณ|jaaMrooHwanM|Jaruwan[aThaifemalegivenname]
จินตหรา|jinMdtaLraaR|Jintara[Thaifemalegivenname]
จินทนา|jinMthaHnaaM|Jinthana[aThaifemalegivenname]
เจือ|jeuuaM|Juaa[aThaimaleorfemalegivenname]
กาญจนา|gaanMjaLnaaM|Kanchana[aThaifemalegivennamemeaning"gold"]
เกษม|gaLsaehmR|Kasem[aThaimalegivennamemeaning"happiness"]
ขจี|khaLjeeM|Khajee[aThaifemalegivenname](verdant,green)
ขนิษฐา|khaLnitHthaaR|Khanittha[aThaifemalegivennamemeaning"youngersister"]
คลัง|khlangM|Khlang[aThaigivenname]
ขวัญจิต|khwanRjitL|Khwanchit[aThaigivennamemeaning"darling,sweetheart"]
กิติ|giLdtiL|[aThaimalegivenname]Kiti
กล้าหาญ|glaaFhaanR|Klaharn[aThaimalegivenname](brave,bold)
กฤษฏิ์|gritL|Krist[aThaigivenname]
กุมโชค|goomMcho:hkF|Kumchok[aThaigivenname]
กุญชนิตา|goonMchaHniHdtaaM|Kunchanita[aThaigivenname]
กุลพันธ์|goonMlaHphanM|Kunlapan[aThaigivenname]
ขวัญชัย|khwanRchaiM|Kwanchai[aThaimalegivenname]
ขวัญใจ|khwanRjaiM|Kwanjai;Qwan-jai[aThaifemalegivenname](darling,sweetheart,favorite,beloved)
